  =  0.18269
лю =  0.00097
ля =  0.00143
м  =  0.00698
ма =  0.00490
мб =  0.00002
мв =  0.00002
мг =  0.00002
мд =  0.00000
ме =  0.00353
ми =  0.00223
мк =  0.00014
мл =  0.00019
мм =  0.00007
мн =  0.00178
мо =  0.00319
мп =  0.00014
мр =  0.00003
мс =  0.00013
мт =  0.00007
му =  0.00188
мф =  0.00001
мх =  0.00000
мц =  0.00001
мч =  0.00005
мш =  0.00001
мщ =  0.00000
мы =  0.00118
мь =  0.00022
мэ =  0.00000
мя =  0.00031
н  =  0.00387
на =  0.01017
нб =  0.00001
нв =  0.00002
нг =  0.00003
нд =  0.00015
не =  0.00941
нж =  0.00001
нз =  0.00003
ни =  0.00611
нй =  0.00000
нк =  0.00035
нм =  0.00004
нн =  0.00168
но =  0.00887
нр =  0.00008
нс =  0.00017
нт =  0.00053
ну =  0.00393
нф =  0.00003
нц =  0.00015
нч =  0.00017
нш =  0.00000
нщ =  0.00004
ны =  0.00230
нь =  0.00109
ню =  0.00020
ня =  0.00197
о  =  0.02016
об =  0.00302
ов =  0.00582
ог =  0.00405
од =  0.00457
ое =  0.00152
ож =  0.00184
оз =  0.00097
ои =  0.00083
ой =  0.00336
ок =  0.00231
ол =  0.00516
ом =  0.00492
он =  0.00668
оо =  0.00019
оп =  0.00122
ор =  0.00474
ос =  0.00496
от =  0.00643
оу =  0.00005
оф =  0.00013
ох =  0.00059
оц =  0.00011
оч =  0.00179
ош =  0.00083
ощ =  0.00057
оэ =  0.00003
ою =  0.00026
оя =  0.00057
п  =  0.00015
па =  0.00192
пе =  0.00190
пи =  0.00090
пк =  0.00020
пл =  0.00095
пн =  0.00015
по =  0.00914
пп =  0.00001
пр =  0.00544
пс =  0.00003
пт =  0.00021
пу =  0.00090
пц =  0.00000
пч =  0.00002
пш =  0.00000
пы =  0.00028
пь =  0.00010
пю =  0.00001
пя =  0.00025
р  =  0.00190
ра =  0.00659
рб =  0.00002
рв =  0.00074
рг =  0.00010
рд =  0.00031
ре =  0.00488
рж =  0.00021
рз =  0.00006
ри =  0.00454
рк =  0.00047
рл =  0.00013
рм =  0.00017
рн =  0.00096
ро =  0.00684
рп =  0.00010
рр =  0.00002
рс =  0.00009
рт =  0.00055
ру =  0.00304
рф =  0.00001
рх =  0.00012
рц =  0.00008
рч =  0.00009
рш =  0.00011
рщ =  0.00002
ры =  0.00127
рь =  0.00072
рю =  0.00013
ря =  0.00133
с  =  0.00356
са =  0.00114
сб =  0.00007
св =  0.00128
сг =  0.00004
сд =  0.00029
се =  0.00332
сж =  0.00006
сз =  0.00002
си =  0.00253
сй =  0.00000
ск =  0.00245
сл =  0.00258
см =  0.00089
сн =  0.00103
со =  0.00217
сп =  0.00188
ср =  0.00023
сс =  0.00043
ст =  0.00884
су =  0.00071
сф =  0.00002
сх =  0.00021
сц =  0.00006
сч =  0.00019
сш =  0.00004
сщ =  0.00000
съ =  0.00004
сы =  0.00037
сь =  0.00326
сю =  0.00016
ся =  0.00477
т  =  0.00583
та =  0.00554
тб =  0.00007
тв =  0.00166
тг =  0.00003
тд =  0.00012
те =  0.00496
тз =  0.00000
ти =  0.00380
тй =  0.00000
тк =  0.00086
тл =  0.00016
тм =  0.00010
тн =  0.00091
то =  0.01095
